DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,
01/09/2019,22:02:37,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],PASS,Board 20,Winning combination found,-1001,2,2,CROSSES,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],Minimax_SYSTST.GameBoard_SYSTST`1[System.Int32],6,2,00:00:10.3270596,
DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,
01/09/2019,22:02:37,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],PASS,Board 22,Winning combination found,-1001,1,2,CROSSES,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],Minimax_SYSTST.GameBoard_SYSTST`1[System.Int32],7,2,00:00:10.8976285,
DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,
01/09/2019,22:02:37,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],PASS,Board 23,Winning combination found,-1001,1,2,CROSSES,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],Minimax_SYSTST.GameBoard_SYSTST`1[System.Int32],7,2,00:00:10.9752580,
DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,
01/09/2019,22:02:38,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],PASS,Board 24,Winning combination found,-1001,1,2,CROSSES,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],Minimax_SYSTST.GameBoard_SYSTST`1[System.Int32],7,2,00:00:11.4200095,
DATE,TIME,INT BOARD,RESULT,BOARD NO,REASON,SCORE,X,Y,SIDE,FIN BOARD,SCORE BOARD,POSITIONS VISTED,DEPTH,TIME ELAPSED,
01/09/2019,22:02:39,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],PASS,Board 25,Winning combination found,-1001,1,2,CROSSES,Minimax_SYSTST.GameBoard_SYSTST`1[Minimax_SYSTST.counters],Minimax_SYSTST.GameBoard_SYSTST`1[System.Int32],7,2,00:00:12.4085282,
